protocol,t,repair,store
replicated,46396800,7,3
replicated,46483200,7,3
replicated,46569600,7,3
replicated,46656000,7,3
replicated,46742400,7,3
replicated,46828800,7,3
replicated,46915200,7,3
replicated,47001600,7,3
replicated,47088000,7,3
replicated,47174400,7,3
replicated,47260800,7,3
replicated,47347200,7,3
replicated,47433600,7,3
replicated,47520000,7,3
replicated,47606400,7,3
replicated,47692800,7,3
replicated,47779200,7,3
replicated,47865600,7,3
replicated,47952000,7,3
replicated,48038400,7,3
replicated,48124800,7,3
replicated,48211200,7,3
replicated,48297600,7,3
replicated,48384000,7,3
replicated,48470400,7,3
replicated,48556800,7,3
replicated,48643200,7,3
replicated,48729600,7,3
replicated,48816000,7,3
replicated,48902400,7,3
replicated,48988800,7,3
replicated,49075200,7,3
replicated,49161600,7,3
replicated,49248000,7,3
replicated,49334400,7,3
replicated,49420800,7,3
replicated,49507200,7,3
replicated,49593600,7,3
replicated,49680000,7,3
replicated,49766400,7,3
replicated,49852800,7,3
replicated,49939200,7,3
replicated,50025600,7,3
replicated,50112000,7,3
replicated,50198400,7,3
replicated,50284800,7,3
replicated,50371200,7,3
replicated,50457600,7,3
replicated,50544000,7,3
replicated,50630400,7,3
replicated,50716800,7,3
replicated,50803200,7,3
replicated,50889600,7,3
replicated,50976000,7,3
replicated,51062400,7,3
replicated,51148800,7,3
replicated,51235200,7,3
replicated,51321600,7,3
replicated,51408000,7,3
replicated,51494400,7,3
replicated,51580800,7,3
replicated,51667200,7,3
replicated,51753600,7,3
replicated,51840000,7,3
replicated,51926400,7,3
replicated,52012800,7,3
replicated,52099200,7,3
replicated,52185600,7,3
replicated,52272000,7,3
replicated,52358400,7,3
replicated,52444800,7,3
replicated,52531200,7,3
replicated,52617600,7,3
replicated,52704000,7,3
replicated,52790400,7,3
replicated,52876800,7,3
replicated,52963200,7,3
replicated,53049600,7,3
replicated,53136000,7,3
replicated,53222400,7,3
replicated,53308800,7,3
replicated,53395200,7,3
replicated,53481600,7,3
replicated,53568000,7,3
replicated,53654400,7,3
replicated,53740800,7,3
replicated,53827200,7,3
replicated,53913600,7,3
replicated,54000000,7,3
replicated,54086400,7,3
replicated,54172800,7,3
replicated,54259200,7,3
replicated,54345600,7,3
replicated,54432000,7,3
replicated,54518400,7,3
replicated,54604800,7,3
replicated,54691200,7,3
replicated,54777600,7,3
replicated,54864000,7,3
replicated,54950400,7,3
replicated,55036800,7,3
replicated,55123200,7,3
replicated,55209600,7,3
replicated,55296000,7,3
replicated,55382400,7,3
replicated,55468800,7,3
replicated,55555200,7,3
replicated,55641600,7,3
replicated,55728000,7,3
replicated,55814400,7,3
replicated,55900800,7,3
replicated,55987200,7,3
replicated,56073600,7,3
replicated,56160000,7,3
replicated,56246400,7,3
replicated,56332800,7,3
replicated,56419200,7,3
replicated,56505600,7,3
replicated,56592000,7,3
replicated,56678400,7,3
replicated,56764800,7,3
replicated,56851200,7,3
replicated,56937600,7,3
replicated,57024000,7,3
replicated,57110400,7,3
replicated,57196800,7,3
replicated,57283200,7,3
replicated,57369600,7,3
replicated,57456000,7,3
replicated,57542400,7,3
replicated,57628800,7,3
replicated,57715200,7,3
replicated,57801600,7,3
replicated,57888000,7,3
replicated,57974400,7,3
replicated,58060800,7,3
replicated,58147200,7,3
replicated,58233600,7,3
replicated,58320000,7,3
replicated,58406400,7,3
replicated,58492800,7,3
replicated,58579200,7,3
replicated,58665600,7,3
replicated,58752000,7,3
replicated,58838400,7,3
replicated,58924800,7,3
replicated,59011200,7,3
replicated,59097600,7,3
replicated,59184000,7,3
replicated,59270400,7,3
replicated,59356800,7,3
replicated,59443200,7,3
replicated,59529600,7,3
replicated,59616000,7,3
replicated,59702400,7,3
replicated,59788800,7,3
replicated,59875200,7,3
replicated,59961600,7,3
replicated,60048000,7,3
replicated,60134400,7,3
replicated,60220800,7,3
replicated,60307200,7,3
replicated,60393600,7,3
replicated,60480000,7,3
replicated,60566400,7,3
replicated,60652800,7,3
replicated,60739200,7,3
replicated,60825600,7,3
replicated,60912000,7,3
replicated,60998400,7,3
replicated,61084800,7,3
replicated,61171200,7,3
replicated,61257600,7,3
replicated,61344000,7,3
replicated,61430400,7,3
replicated,61516800,7,3
replicated,61603200,7,3
replicated,61689600,7,3
replicated,61776000,7,3
replicated,61862400,7,3
replicated,61948800,7,3
replicated,62035200,7,3
replicated,62121600,7,3
replicated,62208000,7,3
replicated,62294400,7,3
replicated,62380800,7,3
replicated,62467200,7,3
replicated,62553600,7,3
replicated,62640000,7,3
replicated,62726400,7,3
replicated,62812800,7,3
replicated,62899200,7,3
replicated,62985600,7,3
replicated,63072000,7,3
replicated,63158400,7,3
replicated,63244800,7,3
replicated,63331200,7,3
replicated,63417600,7,3
replicated,63504000,7,3
replicated,63590400,7,3
replicated,63676800,7,3
replicated,63763200,7,3
replicated,63849600,7,3
replicated,63936000,7,3
replicated,64022400,7,3
replicated,64108800,7,3
replicated,64195200,7,3
replicated,64281600,7,3
replicated,64368000,7,3
replicated,64454400,7,3
replicated,64540800,7,3
replicated,64627200,7,3
replicated,64713600,7,3
replicated,64800000,7,3
replicated,64886400,7,3
replicated,64972800,7,3
replicated,65059200,7,3
replicated,65145600,7,3
replicated,65232000,7,3
replicated,65318400,7,3
replicated,65404800,7,3
replicated,65491200,7,3
replicated,65577600,7,3
replicated,65664000,7,3
replicated,65750400,7,3
replicated,65836800,7,3
replicated,65923200,7,3
replicated,66009600,7,3
replicated,66096000,7,3
replicated,66182400,7,3
replicated,66268800,7,3
replicated,66355200,7,3
replicated,66441600,7,3
replicated,66528000,7,3
replicated,66614400,7,3
replicated,66700800,7,3
replicated,66787200,7,3
replicated,66873600,7,3
replicated,66960000,7,3
replicated,67046400,7,3
replicated,67132800,7,3
replicated,67219200,7,3
replicated,67305600,7,3
replicated,67392000,7,3
replicated,67478400,7,3
replicated,67564800,7,3
replicated,67651200,7,3
replicated,67737600,7,3
replicated,67824000,7,3
replicated,67910400,7,3
replicated,67996800,7,3
replicated,68083200,7,3
replicated,68169600,7,3
replicated,68256000,7,3
replicated,68342400,8,3
replicated,68428800,8,3
replicated,68515200,8,3
replicated,68601600,8,3
replicated,68688000,8,3
replicated,68774400,8,3
replicated,68860800,8,3
replicated,68947200,8,3
replicated,69033600,8,3
replicated,69120000,8,3
replicated,69206400,8,3
replicated,69292800,8,3
replicated,69379200,8,3
replicated,69465600,8,3
replicated,69552000,8,3
replicated,69638400,8,3
replicated,69724800,8,3
replicated,69811200,8,3
replicated,69897600,8,3
replicated,69984000,8,3
replicated,70070400,8,3
replicated,70156800,8,3
replicated,70243200,8,3
replicated,70329600,8,3
replicated,70416000,8,3
replicated,70502400,8,3
replicated,70588800,8,3
replicated,70675200,8,3
replicated,70761600,8,3
replicated,70848000,8,3
replicated,70934400,8,3
replicated,71020800,8,3
replicated,71107200,8,3
replicated,71193600,8,3
replicated,71280000,8,3
replicated,71366400,8,3
replicated,71452800,8,3
replicated,71539200,8,3
replicated,71625600,8,3
replicated,71712000,8,3
replicated,71798400,8,3
replicated,71884800,8,3
replicated,71971200,8,3
replicated,72057600,8,3
replicated,72144000,8,3
replicated,72230400,9,3
replicated,72316800,9,3
replicated,72403200,9,3
replicated,72489600,9,3
replicated,72576000,9,3
replicated,72662400,9,3
replicated,72748800,9,3
replicated,72835200,9,3
replicated,72921600,9,3
replicated,73008000,9,3
replicated,73094400,9,3
replicated,73180800,9,3
replicated,73267200,9,3
replicated,73353600,9,3
replicated,73440000,9,3
replicated,73526400,9,3
replicated,73612800,9,3
replicated,73699200,9,3
replicated,73785600,9,3
replicated,73872000,9,3
replicated,73958400,9,3
replicated,74044800,9,3
replicated,74131200,9,3
replicated,74217600,9,3
replicated,74304000,9,3
replicated,74390400,9,3
replicated,74476800,9,3
replicated,74563200,9,3
replicated,74649600,9,3
replicated,74736000,9,3
replicated,74822400,9,3
replicated,74908800,9,3
replicated,74995200,9,3
replicated,75081600,9,3
replicated,75168000,9,3
replicated,75254400,9,3
replicated,75340800,9,3
replicated,75427200,9,3
replicated,75513600,9,3
replicated,75600000,9,3
replicated,75686400,9,3
replicated,75772800,9,3
replicated,75859200,9,3
replicated,75945600,9,3
replicated,76032000,9,3
replicated,76118400,9,3
replicated,76204800,9,3
replicated,76291200,9,3
replicated,76377600,9,3
