protocol,#peer,AFR,#object,repair
entropy-1,100000,2,1000,3807.5313
entropy-1,100000,2,1000,3816.625
entropy-1,100000,2,1000,3779.0313
entropy-1,100000,2,1000,3784.75
entropy-1,100000,2,1000,3817.8438
entropy-1,100000,2,1000,3792.6406
entropy-1,100000,4,1000,7676.875
entropy-1,100000,4,1000,7687.7188
entropy-1,100000,4,1000,7746.8125
entropy-1,100000,4,1000,7699.8594
entropy-1,100000,4,1000,7708.1406
entropy-1,100000,4,1000,7691.7656
entropy-1,100000,4,1000,7675.047
entropy-1,100000,4,1000,7725.8594
entropy-1,100000,4,1000,7724.9844
entropy-1,100000,4,1000,7734.9688
entropy-0.75,100000,0.5,1000,13046.531
entropy-0.75,100000,0.5,1000,13399.406
entropy-0.75,100000,0.5,1000,14119.984
entropy-0.75,100000,0.5,1000,12872.922
entropy-0.75,100000,0.5,1000,13773.016
entropy-0.75,100000,0.5,1000,13873.719
entropy-0.75,100000,0.5,1000,13735.9375
entropy-0.75,100000,0.5,1000,13952.328
entropy-0.75,100000,0.5,1000,13851.969
entropy-0.75,100000,0.5,1000,14858.875
entropy-0.75,100000,2,1000,63548.484
entropy-0.75,100000,2,1000,63467.36
entropy-0.75,100000,2,1000,63743.203
entropy-0.75,100000,2,1000,63398.813
entropy-0.75,100000,2,1000,63651.36
entropy-0.75,100000,2,1000,63412.75
entropy-0.75,100000,2,1000,63677.734
entropy-0.75,100000,2,1000,63966.063
entropy-0.75,100000,2,1000,63332.516
entropy-0.75,100000,2,1000,63979.938
entropy-0.75,100000,4,1000,129545.8
entropy-0.75,100000,4,1000,128250.34
entropy-0.75,100000,4,1000,130193.266
entropy-0.75,100000,4,1000,129303.45
entropy-0.75,100000,4,1000,128412.484
entropy-0.75,100000,4,1000,128833.766
entropy-0.75,100000,4,1000,128692.44
entropy-0.75,100000,4,1000,129477.22
entropy-0.75,100000,4,1000,129422.375
entropy-0.75,100000,4,1000,129447.8
entropy-0.5,100000,0.5,1000,25027.984
entropy-0.5,100000,0.5,1000,25325.625
entropy-0.5,100000,0.5,1000,27009.125
entropy-0.5,100000,0.5,1000,26091.938
entropy-0.5,100000,0.5,1000,26421.578
entropy-0.5,100000,0.5,1000,26753.281
entropy-0.5,100000,0.5,1000,27152.797
entropy-0.5,100000,0.5,1000,27410.031
entropy-0.5,100000,0.5,1000,28585
entropy-0.5,100000,0.5,1000,26656.516
entropy-0.5,100000,2,1000,123265.59
entropy-0.5,100000,2,1000,123529
entropy-0.5,100000,2,1000,123120.84
entropy-0.5,100000,2,1000,123220.42
entropy-0.5,100000,2,1000,124348.7
entropy-0.5,100000,2,1000,123378.61
entropy-0.5,100000,2,1000,124009.984
entropy-0.5,100000,2,1000,123049.625
entropy-0.5,100000,2,1000,123700
entropy-0.5,100000,2,1000,123425.56
entropy-0.5,100000,4,1000,251156.47
entropy-0.5,100000,4,1000,249049.61
entropy-0.5,100000,4,1000,250328.28
entropy-0.5,100000,4,1000,250945.44
entropy-0.5,100000,4,1000,251976.2
entropy-0.5,100000,4,1000,249176.88
entropy-0.5,100000,4,1000,250362.17
entropy-0.5,100000,4,1000,251059.45
entropy-0.5,100000,4,1000,250611.92
entropy-0.5,100000,4,1000,250580.94
entropy-0.25,100000,0.5,1000,37669.688
entropy-0.25,100000,0.5,1000,37337.594
entropy-0.25,100000,0.5,1000,38690.953
entropy-0.25,100000,0.5,1000,40273.58
entropy-0.25,100000,0.5,1000,39702.734
entropy-0.25,100000,0.5,1000,40474.344
entropy-0.25,100000,0.5,1000,39660.11
entropy-0.25,100000,0.5,1000,38965.47
entropy-0.25,100000,0.5,1000,40605.58
entropy-0.25,100000,0.5,1000,42279.625
entropy-0.25,100000,2,1000,183335.61
entropy-0.25,100000,2,1000,183594.2
entropy-0.25,100000,2,1000,184004.78
entropy-0.25,100000,2,1000,184480.23
entropy-0.25,100000,2,1000,183532.92
entropy-0.25,100000,2,1000,182657.67
entropy-0.25,100000,2,1000,183860.36
entropy-0.25,100000,2,1000,183473.9
entropy-0.25,100000,2,1000,182580.69
entropy-0.25,100000,2,1000,183102.9
entropy-0.25,100000,4,1000,372294.25
entropy-0.25,100000,4,1000,372139
entropy-0.25,100000,4,1000,371188.2
entropy-0.25,100000,4,1000,371735.56
entropy-0.25,100000,4,1000,369330.38
entropy-0.25,100000,4,1000,371484.2
entropy-0.25,100000,4,1000,373972.88
entropy-0.25,100000,4,1000,371526.5
entropy-0.25,100000,4,1000,368936.94
entropy-0.25,100000,4,1000,372384.8
entropy-0,100000,0.5,1000,49786
entropy-0,100000,0.5,1000,49872
entropy-0,100000,0.5,1000,51288
entropy-0,100000,0.5,1000,52036
entropy-0,100000,0.5,1000,52664
entropy-0,100000,0.5,1000,53666
entropy-0,100000,0.5,1000,52708
entropy-0,100000,0.5,1000,53872
entropy-0,100000,0.5,1000,53663
entropy-0,100000,0.5,1000,56116
entropy-0,100000,2,1000,244048
entropy-0,100000,2,1000,244912
entropy-0,100000,2,1000,243715
entropy-0,100000,2,1000,242285
entropy-0,100000,2,1000,243570
entropy-0,100000,2,1000,243602
entropy-0,100000,2,1000,242821
entropy-0,100000,2,1000,243394
entropy-0,100000,2,1000,242487
entropy-0,100000,2,1000,243063
entropy-0,100000,4,1000,490315
entropy-0,100000,4,1000,494177
entropy-0,100000,4,1000,493085
entropy-0,100000,4,1000,490522
entropy-0,100000,4,1000,494324
entropy-0,100000,4,1000,494279
entropy-0,100000,4,1000,494246
entropy-0,100000,4,1000,493787
entropy-0,100000,4,1000,496177
entropy-0,100000,4,1000,494646
replicated,100000,0.5,1000,1506
replicated,100000,0.5,1000,1523
replicated,100000,0.5,1000,1438
replicated,100000,0.5,1000,1539
replicated,100000,0.5,1000,1553
replicated,100000,0.5,1000,1448
replicated,100000,0.5,1000,1518
replicated,100000,0.5,1000,1532
replicated,100000,0.5,1000,1480
replicated,100000,0.5,1000,1433
replicated,100000,2,1000,6071
replicated,100000,2,1000,6000
replicated,100000,2,1000,6015
replicated,100000,2,1000,5990
replicated,100000,2,1000,5980
replicated,100000,2,1000,5975
replicated,100000,2,1000,6058
replicated,100000,2,1000,5849
replicated,100000,2,1000,5904
replicated,100000,2,1000,6026
replicated,100000,4,1000,12061
replicated,100000,4,1000,12117
replicated,100000,4,1000,12013
replicated,100000,4,1000,12273
replicated,100000,4,1000,12142
replicated,100000,4,1000,11952
replicated,100000,4,1000,11863
replicated,100000,4,1000,11882
replicated,100000,4,1000,12255
replicated,100000,4,1000,11898
